Metric,Value
CPU Usage (%),2.3
Memory Usage (%),78.5
Memory Total (GB),15.7
Memory Used (GB),12.3
Disk Usage (%),98.7
Disk Total (GB),227.9
Disk Free (GB),3.1
Network Sent (MB),192324.3
Network Received (MB),88667.9
